===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,firstStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
48,,48,2018-04-22 00:00:00,1107.0,1107.0,1080.0,1098.0,6570113.0,,firstStrategy,48,736806.0,Broker,48,10000.0,10000.0,BuySell,48,,,Trades - Net Profit/Loss,48,,
49,,49,2018-04-23 00:00:00,1080.0,1098.0,1075.0,1081.0,1274506.0,,firstStrategy,49,736807.0,Broker,49,10000.0,10000.0,BuySell,49,,,Trades - Net Profit/Loss,49,,
50,,50,2018-04-24 00:00:00,1088.0,1097.0,1070.0,1080.0,21636018.0,,firstStrategy,50,736808.0,Broker,50,10000.0,10000.0,BuySell,50,,,Trades - Net Profit/Loss,50,,
51,,51,2018-04-25 00:00:00,1080.0,1099.0,1076.0,1080.0,1284863.0,,firstStrategy,51,736809.0,Broker,51,10000.0,10000.0,BuySell,51,,,Trades - Net Profit/Loss,51,,
52,,52,2018-04-28 00:00:00,1090.0,1100.0,1062.0,1070.0,13766008.0,,firstStrategy,52,736812.0,Broker,52,10000.0,10000.0,BuySell,52,,,Trades - Net Profit/Loss,52,,
53,,53,2018-04-29 00:00:00,1063.0,1081.0,1055.0,1072.0,15446910.0,,firstStrategy,53,736813.0,Broker,53,10000.0,10000.0,BuySell,53,,,Trades - Net Profit/Loss,53,,
54,,54,2018-04-30 00:00:00,1070.0,1075.0,1048.0,1070.0,6904757.0,,firstStrategy,54,736814.0,Broker,54,10000.0,10000.0,BuySell,54,,,Trades - Net Profit/Loss,54,,
55,,55,2018-05-01 00:00:00,1070.0,1080.0,1050.0,1080.0,6596959.0,,firstStrategy,55,736815.0,Broker,55,10000.0,10000.0,BuySell,55,,,Trades - Net Profit/Loss,55,,
56,,56,2018-05-05 00:00:00,1078.0,1078.0,1056.0,1070.0,2714158.0,,firstStrategy,56,736819.0,Broker,56,10000.0,10000.0,BuySell,56,,,Trades - Net Profit/Loss,56,,
57,,57,2018-05-06 00:00:00,1060.0,1078.0,1052.0,1069.0,4604515.0,,firstStrategy,57,736820.0,Broker,57,10000.0,10000.0,BuySell,57,,,Trades - Net Profit/Loss,57,,
